user_id,phone,age,gender,city,registration_date,tenure_months,plan_type,plan_name,monthly_spend_usd,data_quota_gb,data_usage_gb,data_usage_pct,voice_minutes,sms_sent,app_logins_last_30d,days_since_last_topup,complaints_last_90d,support_tickets,nps_score,avg_speed_mbps,dropped_calls_last_30d,device_brand,churn_probability,churned
USR000012,+62821-4147-****,45,F,Bandung,2023-02-19,38,postpaid,starter,10.0,15,12.86,85.7,86,0,14,0,0,0,6,42.7,3,Xiaomi,0.043,0
USR000013,+62813-5611-****,44,M,Jakarta,2026-03-15,1,postpaid,family,40.0,150,70.96,47.3,131,2,12,0,0,0,10,40.4,0,Oppo,0.11,0
USR000014,+62813-1417-****,33,M,Bandung,2024-08-19,20,prepaid,daily_5gb,1.3,5,2.5,50.0,100,15,19,16,1,0,10,27.8,0,Oppo,0.197,0
USR000015,+62812-2365-****,25,F,Medan,2023-09-30,31,prepaid,monthly_20gb,6.7,20,11.22,56.1,83,27,11,7,0,2,5,33.3,0,Apple,0.223,0
USR000016,+62813-1953-****,29,M,Palembang,2025-07-22,9,postpaid,premium,60.0,300,259.05,86.3,157,19,11,1,0,1,8,18.0,3,Samsung,0.099,0
USR000017,+62822-7619-****,32,M,Jakarta,2021-12-14,53,prepaid,mini_1gb,0.7,1,0.67,66.5,23,17,13,6,0,0,7,14.8,2,Oppo,0.143,0
USR000018,+62853-8575-****,35,F,Bandung,2025-05-07,11,prepaid,daily_5gb,1.3,5,2.22,44.3,122,66,6,17,0,1,7,46.5,2,Oppo,0.406,0
USR000019,+62851-2015-****,22,F,Surabaya,2025-10-01,7,prepaid,daily_5gb,1.3,5,2.64,52.7,124,0,10,4,0,0,3,41.8,1,Apple,0.298,0
USR000020,+62812-5780-****,30,F,Surabaya,2025-05-22,11,prepaid,monthly_20gb,6.7,20,20.64,103.2,94,0,7,0,0,0,7,28.2,3,Samsung,0.174,0
USR000021,+62812-6115-****,35,F,Jakarta,2026-03-08,1,postpaid,plus,20.0,50,29.28,58.6,252,7,13,2,1,2,6,25.5,2,Vivo,0.178,0
USR000022,+62821-1666-****,51,F,Surabaya,2023-05-17,35,prepaid,mini_1gb,0.7,1,0.71,70.7,160,8,9,2,0,0,6,7.4,1,Xiaomi,0.412,0
USR000023,+62822-2276-****,32,M,Makassar,2025-06-14,10,prepaid,mini_1gb,0.7,1,0.74,73.8,284,8,17,2,0,0,10,44.6,1,Oppo,0.055,1
USR000024,+62813-1125-****,26,M,Bandung,2025-02-22,14,prepaid,monthly_20gb,6.7,20,6.86,34.3,196,14,12,2,0,0,7,17.4,0,Oppo,0.087,0
USR000025,+62822-7986-****,24,M,Surabaya,2025-01-11,15,prepaid,weekly_10gb,3.3,10,3.52,35.2,182,17,13,2,1,0,10,4.2,1,Samsung,0.099,0
USR000026,+62851-2917-****,18,F,Jakarta,2019-06-25,83,prepaid,monthly_50gb,13.3,50,41.06,82.1,103,3,13,1,1,0,8,27.8,1,Xiaomi,0.016,0
USR000027,+62853-6951-****,30,F,Surabaya,2024-09-08,19,prepaid,weekly_10gb,3.3,10,7.69,76.9,200,1,7,0,0,0,4,22.9,5,Oppo,0.52,0
USR000028,+62853-4687-****,35,M,Jakarta,2023-01-08,40,postpaid,plus,20.0,50,27.35,54.7,0,41,11,2,0,0,7,35.5,1,Apple,0.04,0
USR000029,+62851-4719-****,23,F,Medan,2026-01-25,3,prepaid,monthly_20gb,6.7,20,14.43,72.2,200,44,15,1,0,1,10,40.1,3,Apple,0.119,0
USR000030,+62851-6959-****,18,F,Jakarta,2024-08-28,20,prepaid,monthly_20gb,6.7,20,11.07,55.4,244,63,10,2,0,1,7,33.7,1,Apple,0.108,0
USR000031,+62853-9577-****,25,M,Jakarta,2022-09-11,44,postpaid,premium,60.0,300,292.64,97.5,123,3,10,1,0,0,6,17.0,2,Oppo,0.049,0
USR000032,+62821-3079-****,44,M,Jakarta,2026-01-01,3,prepaid,daily_5gb,1.3,5,2.23,44.5,0,49,10,5,0,1,6,17.0,3,Vivo,0.347,1
USR000033,+62851-9519-****,18,F,Bandung,2023-10-21,30,prepaid,weekly_10gb,3.3,10,10.16,101.6,27,13,15,2,0,1,10,25.6,5,Samsung,0.151,0
USR000034,+62813-9705-****,40,F,Bandung,2023-02-14,39,prepaid,unlimited,20.0,100,17.98,18.0,249,65,19,2,0,0,7,38.6,1,Apple,0.219,0
USR000035,+62813-9996-****,26,M,Surabaya,2025-09-21,7,prepaid,weekly_10gb,3.3,10,9.12,91.2,249,11,15,10,0,2,2,46.6,1,Apple,0.582,0
USR000036,+62812-3866-****,33,F,Surabaya,2025-04-14,12,postpaid,plus,20.0,50,48.9,97.8,105,3,9,6,0,1,7,36.9,2,Oppo,0.112,0
USR000037,+62812-1060-****,18,M,Jakarta,2023-11-01,30,prepaid,daily_5gb,1.3,5,3.98,79.5,74,21,9,1,0,0,10,50.6,2,Samsung,0.057,0
USR000038,+62812-6913-****,22,M,Jakarta,2019-07-15,82,postpaid,starter,10.0,15,18.0,120.0,125,32,14,0,1,1,5,33.4,4,Xiaomi,0.068,1
USR000039,+62822-6468-****,18,M,Semarang,2026-02-07,2,prepaid,weekly_10gb,3.3,10,5.8,58.0,202,1,11,5,0,0,8,16.4,3,Xiaomi,0.564,0
USR000040,+62822-1145-****,42,F,Bandung,2026-03-26,1,postpaid,family,40.0,150,41.79,27.9,207,32,15,3,0,3,7,40.8,1,Oppo,0.129,0
USR000041,+62812-7402-****,31,M,Medan,2020-06-06,71,postpaid,family,40.0,150,106.28,70.9,136,42,19,4,0,1,5,26.7,2,Samsung,0.045,0
USR000042,+62822-2218-****,27,F,Palembang,2016-05-27,120,prepaid,daily_5gb,1.3,5,3.04,60.8,263,23,8,1,0,0,5,40.5,0,Apple,0.135,0
USR000043,+62851-1362-****,37,F,Jakarta,2026-03-18,1,postpaid,plus,20.0,50,29.99,60.0,153,65,17,11,0,1,5,29.1,2,Samsung,0.578,1
USR000044,+62853-6352-****,42,F,Semarang,2022-02-18,51,postpaid,family,40.0,150,141.35,94.2,120,27,8,8,0,0,5,33.2,3,Xiaomi,0.017,0
USR000045,+62851-1038-****,44,F,Jakarta,2024-01-26,27,prepaid,mini_1gb,0.7,1,0.29,29.0,235,1,13,4,0,4,4,40.7,2,Infinix,0.492,1
USR000046,+62821-4633-****,38,M,Jakarta,2024-03-21,25,prepaid,daily_5gb,1.3,5,4.48,89.7,202,10,13,1,1,1,6,12.5,3,Apple,0.282,0
USR000047,+62853-7154-****,37,F,Jakarta,2026-03-18,1,prepaid,weekly_10gb,3.3,10,5.86,58.6,35,16,9,5,0,0,8,28.0,1,Xiaomi,0.246,0
USR000048,+62851-7082-****,34,F,Jakarta,2024-08-11,20,postpaid,starter,10.0,15,11.51,76.7,32,8,6,10,0,1,6,31.3,1,Xiaomi,0.064,0
USR000049,+62812-9946-****,32,F,Palembang,2023-03-14,38,prepaid,daily_5gb,1.3,5,2.44,48.8,159,33,11,3,0,0,8,14.7,4,Samsung,0.047,0
USR000050,+62813-3958-****,27,M,Makassar,2020-01-01,77,postpaid,plus,20.0,50,14.85,29.7,180,26,15,3,0,0,9,24.2,5,Oppo,0.01,0
USR000051,+62851-8062-****,36,F,Jakarta,2019-04-22,85,postpaid,starter,10.0,15,7.18,47.9,147,5,17,3,0,0,9,21.4,3,Vivo,0.007,0
USR000052,+62812-1281-****,36,M,Jakarta,2024-02-11,26,prepaid,mini_1gb,0.7,1,0.58,57.5,325,59,9,2,0,0,4,39.9,4,Samsung,0.522,0
USR000053,+62853-5612-****,19,M,Jakarta,2024-07-24,21,postpaid,plus,20.0,50,40.37,80.7,111,23,9,2,0,0,2,25.6,1,Vivo,0.38,1
USR000054,+62851-4828-****,37,F,Denpasar,2024-12-23,16,prepaid,weekly_10gb,3.3,10,4.21,42.1,166,0,18,5,0,1,9,17.3,2,Infinix,0.069,0
USR000055,+62853-8117-****,25,F,Semarang,2025-03-26,13,prepaid,monthly_50gb,13.3,50,28.42,56.8,120,40,11,5,0,1,8,4.8,3,Samsung,0.361,0
USR000056,+62821-1140-****,32,F,Denpasar,2021-07-03,58,prepaid,monthly_20gb,6.7,20,21.1,105.5,19,12,11,6,0,0,7,22.3,1,Realme,0.171,0
USR000057,+62822-6495-****,27,F,Bandung,2021-02-12,63,prepaid,weekly_10gb,3.3,10,5.43,54.3,83,25,16,0,1,0,7,34.5,2,Samsung,0.044,0
USR000058,+62851-9853-****,36,F,Makassar,2025-10-16,6,prepaid,daily_5gb,1.3,5,3.42,68.5,37,36,17,1,1,1,10,18.3,3,Vivo,0.068,0
USR000059,+62812-6472-****,21,M,Medan,2024-05-13,23,prepaid,mini_1gb,0.7,1,0.46,46.5,115,18,14,2,0,0,5,35.4,4,Xiaomi,0.129,0
USR000060,+62812-1207-****,43,M,Makassar,2026-03-21,1,prepaid,weekly_10gb,3.3,10,2.62,26.2,200,22,9,1,0,0,3,5.5,1,Realme,0.688,1
USR000061,+62813-3408-****,30,F,Jakarta,2023-02-24,38,prepaid,monthly_50gb,13.3,50,21.2,42.4,107,3,12,3,0,0,4,19.7,3,Oppo,0.285,1
USR000062,+62851-8842-****,19,M,Makassar,2020-09-26,68,prepaid,monthly_50gb,13.3,50,23.52,47.0,185,17,13,3,0,0,5,39.8,2,Samsung,0.099,0
USR000063,+62813-6179-****,27,F,Bandung,2024-08-15,20,prepaid,weekly_10gb,3.3,10,5.14,51.4,222,2,7,3,0,0,3,20.9,4,Samsung,0.537,1
USR000064,+62851-2549-****,29,M,Denpasar,2024-01-04,28,postpaid,premium,60.0,300,306.8,102.3,104,2,10,5,0,0,6,9.7,3,Apple,0.232,0
USR000065,+62822-5719-****,40,M,Surabaya,2026-03-03,1,prepaid,daily_5gb,1.3,5,4.2,84.1,106,15,9,1,3,0,7,5.4,1,Xiaomi,0.893,1
USR000066,+62822-7230-****,42,F,Palembang,2020-02-26,75,prepaid,mini_1gb,0.7,1,0.78,78.3,173,57,16,1,1,2,5,15.5,2,Apple,0.021,0
USR000067,+62821-2827-****,39,F,Jakarta,2024-12-02,17,postpaid,starter,10.0,15,14.35,95.7,168,70,19,2,0,0,6,17.0,3,Infinix,0.093,0
USR000068,+62851-6341-****,38,F,Jakarta,2023-02-22,38,prepaid,daily_5gb,1.3,5,4.78,95.6,154,17,14,2,1,0,7,7.6,3,Samsung,0.041,0
USR000069,+62851-2724-****,28,F,Medan,2018-10-08,92,postpaid,plus,20.0,50,39.37,78.7,46,1,10,1,0,1,7,19.0,2,Oppo,0.041,0
USR000070,+62822-3979-****,18,F,Medan,2024-04-18,24,prepaid,monthly_20gb,6.7,20,13.39,67.0,138,0,9,24,0,0,4,19.2,3,Oppo,0.874,1
USR000071,+62853-6891-****,34,F,Jakarta,2023-06-17,34,prepaid,monthly_20gb,6.7,20,14.18,70.9,200,12,12,2,0,1,7,28.9,0,Samsung,0.111,1
USR000072,+62813-1830-****,26,F,Jakarta,2024-09-17,19,prepaid,weekly_10gb,3.3,10,12.0,120.0,280,32,12,0,0,1,8,25.9,1,Oppo,0.285,0
USR000073,+62851-8999-****,39,M,Jakarta,2024-12-31,16,prepaid,daily_5gb,1.3,5,4.35,87.1,218,60,9,19,0,1,8,41.8,2,Apple,0.59,1
USR000074,+62812-6347-****,18,F,Semarang,2026-03-07,1,prepaid,monthly_50gb,13.3,50,22.51,45.0,157,0,5,0,0,1,7,15.5,3,Apple,0.172,0
USR000075,+62851-9616-****,33,F,Jakarta,2023-06-14,35,prepaid,mini_1gb,0.7,1,0.53,52.8,212,15,11,7,0,0,5,16.6,1,Realme,0.206,0
USR000076,+62853-5666-****,27,M,Palembang,2024-11-26,17,prepaid,mini_1gb,0.7,1,0.51,51.5,184,1,14,0,0,0,8,29.4,2,Xiaomi,0.231,1
USR000077,+62821-7852-****,18,F,Bandung,2023-07-26,33,prepaid,mini_1gb,0.7,1,0.64,64.1,178,3,13,4,0,0,5,12.2,2,Oppo,0.108,0
USR000078,+62821-9804-****,26,M,Surabaya,2025-09-28,7,prepaid,daily_5gb,1.3,5,2.61,52.2,58,45,12,4,0,1,8,50.4,0,Oppo,0.174,0
USR000079,+62813-3990-****,23,F,Surabaya,2023-10-31,30,postpaid,starter,10.0,15,14.03,93.6,81,23,6,8,0,0,7,29.8,0,Vivo,0.09,0
USR000080,+62822-2958-****,18,M,Makassar,2025-12-25,4,prepaid,monthly_20gb,6.7,20,9.96,49.8,104,8,11,5,0,0,6,24.0,2,Xiaomi,0.379,1
USR000081,+62822-5596-****,27,F,Jakarta,2024-01-03,28,prepaid,weekly_10gb,3.3,10,7.81,78.1,69,0,10,13,1,1,5,29.1,2,Oppo,0.47,1
USR000082,+62812-2762-****,29,F,Surabaya,2025-03-27,13,postpaid,starter,10.0,15,5.95,39.7,193,36,13,3,0,0,8,21.2,0,Samsung,0.088,1
USR000083,+62812-7748-****,42,M,Palembang,2024-02-18,26,prepaid,weekly_10gb,3.3,10,4.34,43.4,141,31,12,8,0,0,6,34.8,3,Oppo,0.198,0
USR000084,+62812-3800-****,48,F,Semarang,2024-12-03,17,postpaid,starter,10.0,15,14.68,97.9,129,21,20,6,0,1,2,17.6,1,Samsung,0.231,0
USR000085,+62851-4629-****,36,M,Jakarta,2026-03-18,1,prepaid,mini_1gb,0.7,1,0.34,34.0,125,32,13,1,1,0,5,16.1,3,Vivo,0.275,0
USR000086,+62813-6054-****,18,M,Palembang,2024-06-10,22,prepaid,daily_5gb,1.3,5,0.93,18.6,111,5,14,2,0,0,7,22.9,1,Samsung,0.261,0
USR000087,+62812-8446-****,21,F,Jakarta,2021-07-01,58,prepaid,weekly_10gb,3.3,10,10.03,100.3,180,2,17,3,0,0,8,8.0,2,Samsung,0.074,0
USR000088,+62812-3606-****,41,F,Surabaya,2025-09-12,7,prepaid,daily_5gb,1.3,5,3.78,75.7,128,32,18,1,0,0,9,40.9,2,Oppo,0.086,0
USR000089,+62813-3172-****,34,M,Jakarta,2023-04-11,37,prepaid,weekly_10gb,3.3,10,1.21,12.1,247,17,13,0,1,1,7,7.3,1,Xiaomi,0.14,1
USR000090,+62812-1340-****,31,F,Bandung,2018-02-27,99,prepaid,daily_5gb,1.3,5,3.54,70.7,141,9,10,0,0,0,7,31.4,1,Samsung,0.076,0
USR000091,+62853-2708-****,20,F,Bandung,2024-08-23,20,postpaid,premium,60.0,300,250.97,83.7,175,4,15,1,0,1,6,18.1,3,Xiaomi,0.122,0
USR000092,+62821-6806-****,28,F,Jakarta,2020-08-14,69,prepaid,mini_1gb,0.7,1,0.72,72.0,180,13,16,2,0,0,6,19.0,3,Infinix,0.112,0
USR000093,+62821-8537-****,37,M,Jakarta,2025-03-28,13,prepaid,monthly_20gb,6.7,20,13.45,67.2,139,14,14,5,0,0,9,36.5,1,Realme,0.047,1
USR000094,+62813-6776-****,44,M,Jakarta,2022-11-24,41,prepaid,monthly_20gb,6.7,20,5.8,29.0,177,2,11,1,0,0,8,29.7,3,Samsung,0.025,0
USR000095,+62822-6575-****,27,M,Jakarta,2024-02-18,26,prepaid,daily_5gb,1.3,5,4.04,80.7,127,6,8,0,0,1,9,20.9,2,Apple,0.031,0
USR000096,+62853-7352-****,34,M,Semarang,2023-01-23,39,prepaid,weekly_10gb,3.3,10,5.27,52.7,57,29,9,1,0,1,7,16.8,0,Xiaomi,0.1,1
USR000097,+62851-4607-****,22,M,Denpasar,2021-01-14,64,postpaid,family,40.0,150,180.0,120.0,164,40,19,2,1,0,4,25.8,3,Samsung,0.127,0
USR000098,+62853-3016-****,35,F,Jakarta,2024-05-06,24,prepaid,unlimited,20.0,100,44.9,44.9,149,9,16,0,0,1,5,22.1,3,Apple,0.184,0
USR000099,+62853-9016-****,41,M,Jakarta,2023-09-09,32,prepaid,daily_5gb,1.3,5,5.25,105.1,54,24,10,0,0,0,10,32.4,0,Oppo,0.047,0
USR000100,+62813-3566-****,23,F,Jakarta,2022-03-02,50,prepaid,mini_1gb,0.7,1,0.95,94.9,262,12,9,0,1,0,5,9.8,1,Oppo,0.054,0
USR000101,+62821-7683-****,41,F,Medan,2022-02-28,50,prepaid,monthly_20gb,6.7,20,22.6,113.0,250,18,10,0,1,1,7,17.9,3,Xiaomi,0.059,0
USR000102,+62822-3295-****,19,M,Jakarta,2023-04-24,36,prepaid,weekly_10gb,3.3,10,4.96,49.6,176,20,11,1,0,1,6,34.9,1,Samsung,0.156,1
USR000103,+62821-8160-****,18,F,Surabaya,2019-11-21,78,prepaid,weekly_10gb,3.3,10,4.7,47.0,45,12,12,5,0,1,7,41.2,0,Xiaomi,0.036,0
USR000104,+62822-5009-****,27,F,Jakarta,2018-06-30,95,prepaid,daily_5gb,1.3,5,1.23,24.6,184,28,8,6,0,1,7,27.3,2,Samsung,0.034,0
USR000105,+62813-4699-****,32,F,Jakarta,2025-04-12,12,postpaid,family,40.0,150,47.88,31.9,149,14,12,0,0,0,8,8.0,4,Apple,0.135,0
USR000106,+62821-1614-****,18,M,Jakarta,2022-05-07,48,prepaid,daily_5gb,1.3,5,3.29,65.8,158,11,13,7,0,0,8,23.1,3,Xiaomi,0.092,0
USR000107,+62853-4156-****,18,F,Makassar,2023-12-13,28,prepaid,monthly_20gb,6.7,20,13.99,70.0,73,41,12,2,0,0,7,31.9,0,Infinix,0.051,0
USR000108,+62813-4273-****,41,M,Jakarta,2023-09-16,31,postpaid,plus,20.0,50,30.47,60.9,268,18,9,0,0,1,6,32.1,1,Oppo,0.071,0
USR000109,+62813-1680-****,33,M,Medan,2025-06-05,10,prepaid,monthly_50gb,13.3,50,10.63,21.3,76,16,15,0,1,0,7,22.3,0,Apple,0.176,0
USR000110,+62853-8032-****,28,F,Jakarta,2023-07-14,34,postpaid,plus,20.0,50,26.75,53.5,280,7,12,2,1,1,2,29.9,1,Xiaomi,0.517,1
USR000111,+62812-9708-****,50,F,Jakarta,2024-09-12,19,prepaid,daily_5gb,1.3,5,3.3,66.0,111,6,15,4,0,2,5,21.3,2,Oppo,0.171,0
USR000112,+62812-2988-****,34,M,Surabaya,2025-07-16,9,postpaid,plus,20.0,50,44.35,88.7,163,30,15,7,1,1,6,24.7,1,Xiaomi,0.088,0
USR000113,+62813-8519-****,25,M,Surabaya,2025-11-15,5,prepaid,weekly_10gb,3.3,10,10.75,107.5,76,21,6,15,0,0,4,41.7,2,Realme,0.946,1
USR000114,+62853-5937-****,39,M,Jakarta,2026-02-11,2,postpaid,plus,20.0,50,60.0,120.0,46,55,13,0,0,0,8,25.7,3,Vivo,0.215,1
USR000115,+62812-7136-****,23,F,Jakarta,2022-06-06,47,prepaid,monthly_20gb,6.7,20,18.86,94.3,0,111,9,5,0,0,8,35.6,0,Apple,0.125,1
USR000116,+62853-5744-****,22,M,Surabaya,2024-06-21,22,prepaid,monthly_20gb,6.7,20,8.84,44.2,182,34,18,1,0,1,7,17.4,3,Samsung,0.164,0
USR000117,+62813-9312-****,29,F,Jakarta,2025-04-04,13,prepaid,weekly_10gb,3.3,10,10.13,101.3,193,1,16,2,0,0,7,18.1,2,Vivo,0.161,0
USR000118,+62851-1136-****,46,F,Semarang,2022-11-11,42,prepaid,weekly_10gb,3.3,10,6.71,67.1,141,16,9,0,1,0,8,30.6,2,Samsung,0.079,0
USR000119,+62813-9690-****,33,M,Palembang,2022-10-04,43,prepaid,monthly_50gb,13.3,50,60.0,120.0,118,18,8,0,0,0,10,26.1,1,Samsung,0.048,0
USR000120,+62851-1238-****,35,F,Jakarta,2025-08-20,8,postpaid,starter,10.0,15,6.44,43.0,84,8,15,21,0,2,5,39.9,1,Xiaomi,0.309,0
USR000121,+62853-5434-****,31,F,Surabaya,2024-11-17,17,prepaid,mini_1gb,0.7,1,1.13,113.3,209,29,13,5,0,1,9,31.4,5,Samsung,0.071,0
USR000122,+62821-6626-****,23,M,Makassar,2025-11-03,5,prepaid,mini_1gb,0.7,1,0.63,63.4,127,15,22,5,0,0,8,22.1,3,Oppo,0.393,1
USR000123,+62851-1990-****,40,F,Jakarta,2024-03-08,26,postpaid,plus,20.0,50,48.44,96.9,171,1,15,7,1,0,10,29.1,2,Samsung,0.024,0
USR000124,+62821-3725-****,46,F,Bandung,2025-08-30,8,prepaid,weekly_10gb,3.3,10,5.61,56.1,85,17,8,9,1,1,10,14.6,3,Xiaomi,0.067,0
USR000125,+62853-9092-****,18,M,Jakarta,2025-11-24,5,prepaid,weekly_10gb,3.3,10,9.26,92.6,217,33,8,6,0,0,4,28.5,0,Xiaomi,0.444,1
USR000126,+62822-7047-****,27,F,Jakarta,2016-05-29,120,postpaid,starter,10.0,15,12.17,81.1,210,39,7,2,1,0,8,13.0,0,Vivo,0.049,0
USR000127,+62853-8031-****,35,F,Medan,2024-07-16,21,prepaid,weekly_10gb,3.3,10,9.23,92.3,291,9,9,13,1,0,6,31.3,1,Oppo,0.608,0
USR000128,+62853-9135-****,34,M,Medan,2026-03-19,1,prepaid,weekly_10gb,3.3,10,8.13,81.3,210,10,9,4,0,1,8,23.2,6,Apple,0.151,0
USR000129,+62822-4856-****,27,M,Surabaya,2024-06-29,22,postpaid,family,40.0,150,91.84,61.2,176,4,10,29,0,1,8,24.7,1,Oppo,0.419,1
USR000130,+62851-6457-****,25,M,Jakarta,2025-09-26,7,prepaid,mini_1gb,0.7,1,0.61,60.6,129,72,11,8,0,0,6,20.1,1,Xiaomi,0.139,1
USR000131,+62812-4103-****,31,M,Bandung,2026-01-21,3,prepaid,weekly_10gb,3.3,10,4.38,43.8,56,19,9,0,0,0,7,13.1,5,Xiaomi,0.095,0
USR000132,+62851-6570-****,18,F,Bandung,2024-03-13,25,prepaid,mini_1gb,0.7,1,1.15,114.7,125,23,11,11,1,0,7,25.9,5,Samsung,0.702,0
USR000133,+62812-3979-****,18,F,Bandung,2024-10-06,19,prepaid,daily_5gb,1.3,5,2.93,58.6,94,55,17,6,0,0,8,26.4,4,Samsung,0.078,0
USR000134,+62812-3761-****,18,M,Jakarta,2020-08-17,69,prepaid,weekly_10gb,3.3,10,7.12,71.2,209,19,15,6,1,1,8,36.3,0,Xiaomi,0.085,0
USR000135,+62851-4924-****,25,M,Bandung,2022-10-10,43,prepaid,daily_5gb,1.3,5,3.25,65.0,146,5,7,1,0,0,6,20.5,1,Vivo,0.106,0
USR000136,+62812-4176-****,30,M,Jakarta,2024-12-02,17,prepaid,monthly_20gb,6.7,20,16.34,81.7,93,0,18,4,0,0,4,28.3,1,Realme,0.566,1
USR000137,+62813-4354-****,21,M,Surabaya,2025-06-18,10,prepaid,monthly_20gb,6.7,20,6.6,33.0,201,1,6,4,0,1,6,8.5,4,Apple,0.251,0
USR000138,+62812-3672-****,30,F,Jakarta,2022-07-09,46,prepaid,daily_5gb,1.3,5,5.1,102.0,85,7,7,6,1,2,9,14.7,2,Vivo,0.02,0
USR000139,+62822-5006-****,44,F,Denpasar,2024-08-12,20,prepaid,monthly_20gb,6.7,20,8.77,43.8,132,7,15,4,0,0,8,26.5,1,Xiaomi,0.121,0
USR000140,+62853-4758-****,38,F,Jakarta,2023-03-30,37,prepaid,mini_1gb,0.7,1,0.85,84.8,94,3,7,3,0,1,8,29.2,2,Apple,0.041,0
USR000141,+62812-6368-****,21,M,Surabaya,2022-09-04,44,prepaid,daily_5gb,1.3,5,2.45,49.1,246,34,11,1,1,2,6,24.7,1,Xiaomi,0.047,0
USR000142,+62822-5524-****,27,M,Bandung,2026-03-05,1,prepaid,monthly_20gb,6.7,20,15.75,78.7,52,22,19,1,0,2,8,27.1,2,Oppo,0.429,0
USR000143,+62813-2447-****,18,M,Semarang,2025-11-05,5,prepaid,monthly_50gb,13.3,50,36.52,73.0,259,10,15,5,0,1,9,27.3,3,Apple,0.089,0
USR000144,+62821-1124-****,18,F,Jakarta,2025-09-17,7,postpaid,starter,10.0,15,10.29,68.6,270,8,19,7,0,1,5,41.5,1,Realme,0.158,0
USR000145,+62812-7197-****,30,F,Semarang,2024-08-11,20,postpaid,plus,20.0,50,0.0,0.0,202,23,10,0,0,0,8,24.6,3,Samsung,0.244,0
USR000146,+62851-1089-****,32,M,Jakarta,2026-03-15,1,prepaid,monthly_20gb,6.7,20,10.4,52.0,142,17,12,6,0,1,6,18.7,3,Samsung,0.256,0
USR000147,+62853-1044-****,18,M,Jakarta,2022-04-02,49,prepaid,monthly_20gb,6.7,20,17.29,86.4,140,23,12,1,0,1,10,16.6,1,Samsung,0.038,0
USR000148,+62813-7337-****,22,F,Jakarta,2021-10-25,54,prepaid,daily_5gb,1.3,5,4.01,80.2,112,5,11,6,0,1,4,33.9,2,Xiaomi,0.452,1
USR000149,+62821-7636-****,32,F,Jakarta,2025-09-29,7,prepaid,mini_1gb,0.7,1,1.18,117.6,167,14,9,3,0,1,5,29.6,1,Oppo,0.269,1
USR000150,+62813-7155-****,43,F,Bandung,2024-08-30,20,prepaid,weekly_10gb,3.3,10,3.55,35.5,223,5,14,4,1,0,5,27.8,1,Vivo,0.105,0
USR000151,+62853-7135-****,43,F,Surabaya,2024-03-05,26,prepaid,monthly_20gb,6.7,20,15.39,77.0,333,32,11,4,0,0,6,32.2,1,Vivo,0.063,0
USR000152,+62812-7638-****,22,F,Medan,2023-04-04,37,prepaid,monthly_20gb,6.7,20,18.18,90.9,179,7,9,5,0,0,7,16.0,2,Samsung,0.103,1
USR000153,+62821-5078-****,24,M,Semarang,2026-01-08,3,prepaid,mini_1gb,0.7,1,0.72,72.2,76,5,13,0,0,0,9,9.4,1,Oppo,0.288,1
