user_id,phone,age,gender,city,registration_date,tenure_months,plan_type,plan_name,monthly_spend_usd,data_quota_gb,data_usage_gb,data_usage_pct,voice_minutes,sms_sent,app_logins_last_30d,days_since_last_topup,complaints_last_90d,support_tickets,nps_score,avg_speed_mbps,dropped_calls_last_30d,device_brand,churn_probability,churned,usage_ratio,engagement_score,is_prepaid,predicted_churn_prob,risk_tier
USR000012,+62821-4147-****,45,F,Bandung,2023-02-14,38,postpaid,starter,10.0,15,12.86,85.7,86,0,14,0,0,0,6,42.7,3,Xiaomi,0.104,0,0.8516556291390728,0.4666666666666667,0,0.050865974,Low
USR000013,+62813-5611-****,44,M,Jakarta,2026-03-10,1,postpaid,family,40.0,150,70.96,47.3,131,2,12,0,0,0,10,40.4,0,Oppo,0.23,0,0.4727514990006662,0.4,0,0.13270974,Low
USR000014,+62813-1417-****,33,M,Bandung,2024-08-14,20,prepaid,daily_5gb,1.3,5,2.5,50.0,100,15,19,16,1,0,10,27.8,0,Oppo,0.236,0,0.4901960784313726,0.6333333333333333,1,0.08096167,Low
USR000015,+62812-2365-****,25,F,Medan,2023-09-25,31,prepaid,monthly_20gb,6.7,20,11.22,56.1,83,27,11,7,0,2,5,33.3,0,Apple,0.329,0,0.5582089552238806,0.36666666666666664,1,0.275037,Low
USR000016,+62813-1953-****,29,M,Palembang,2025-07-17,9,postpaid,premium,60.0,300,259.05,86.3,157,19,11,1,0,1,8,18.0,3,Samsung,0.167,1,0.8632122625791403,0.36666666666666664,0,0.413333,Medium
USR000017,+62822-7619-****,32,M,Jakarta,2021-12-09,53,prepaid,mini_1gb,0.7,1,0.67,66.5,23,17,13,6,0,0,7,14.8,2,Oppo,0.25,0,0.6090909090909091,0.43333333333333335,1,0.19820832,Low
USR000018,+62853-8575-****,35,F,Bandung,2025-05-02,11,prepaid,daily_5gb,1.3,5,2.22,44.3,122,66,6,17,0,1,7,46.5,2,Oppo,0.387,0,0.4352941176470589,0.2,1,0.24652617,Low
USR000019,+62851-2015-****,22,F,Surabaya,2025-09-26,7,prepaid,daily_5gb,1.3,5,2.64,52.7,124,0,10,4,0,0,3,41.8,1,Apple,0.261,0,0.5176470588235295,0.3333333333333333,1,0.29888597,Low
USR000020,+62812-5780-****,30,F,Surabaya,2025-05-17,11,prepaid,monthly_20gb,6.7,20,20.64,103.2,94,0,7,0,0,0,7,28.2,3,Samsung,0.253,1,1.026865671641791,0.23333333333333334,1,0.27618343,Low
USR000021,+62812-6115-****,35,F,Jakarta,2026-03-03,1,postpaid,plus,20.0,50,29.28,58.6,252,7,13,2,1,2,6,25.5,2,Vivo,0.258,0,0.5844311377245509,0.43333333333333335,0,0.14784372,Low
USR000022,+62821-1666-****,51,F,Surabaya,2023-05-12,35,prepaid,mini_1gb,0.7,1,0.71,70.7,160,8,9,2,0,0,6,7.4,1,Xiaomi,0.525,1,0.6454545454545454,0.3,1,0.4429358,Medium
USR000023,+62822-2276-****,32,M,Makassar,2025-06-09,10,prepaid,mini_1gb,0.7,1,0.74,73.8,284,8,17,2,0,0,10,44.6,1,Oppo,0.107,1,0.6727272727272726,0.5666666666666667,1,0.6586626,Medium
USR000024,+62813-1125-****,26,M,Bandung,2025-02-17,14,prepaid,monthly_20gb,6.7,20,6.86,34.3,196,14,12,2,0,0,7,17.4,0,Oppo,0.114,0,0.34129353233830845,0.4,1,0.17406881,Low
USR000025,+62822-7986-****,24,M,Surabaya,2025-01-06,15,prepaid,weekly_10gb,3.3,10,3.52,35.2,182,17,13,2,1,0,10,4.2,1,Samsung,0.166,0,0.34851485148514855,0.43333333333333335,1,0.2033676,Low
USR000026,+62851-2917-****,18,F,Jakarta,2019-06-20,83,prepaid,monthly_50gb,13.3,50,41.06,82.1,103,3,13,1,1,0,8,27.8,1,Xiaomi,0.025,0,0.819560878243513,0.43333333333333335,1,0.17029373,Low
USR000027,+62853-6951-****,30,F,Surabaya,2024-09-03,19,prepaid,weekly_10gb,3.3,10,7.69,76.9,200,1,7,0,0,0,4,22.9,5,Oppo,0.524,0,0.7613861386138614,0.23333333333333334,1,0.3600132,Medium
USR000028,+62853-4687-****,35,M,Jakarta,2023-01-03,40,postpaid,plus,20.0,50,27.35,54.7,0,41,11,2,0,0,7,35.5,1,Apple,0.075,0,0.5459081836327345,0.36666666666666664,0,0.14433822,Low
USR000029,+62851-4719-****,23,F,Medan,2026-01-20,3,prepaid,monthly_20gb,6.7,20,14.43,72.2,200,44,15,1,0,1,10,40.1,3,Apple,0.204,1,0.717910447761194,0.5,1,0.5860103,Medium
USR000030,+62851-6959-****,18,F,Jakarta,2024-08-23,20,prepaid,monthly_20gb,6.7,20,11.07,55.4,244,63,10,2,0,1,7,33.7,1,Apple,0.147,0,0.5507462686567164,0.3333333333333333,1,0.16981407,Low
USR000031,+62853-9577-****,25,M,Jakarta,2022-09-06,44,postpaid,premium,60.0,300,292.64,97.5,123,3,10,1,0,0,6,17.0,2,Oppo,0.119,0,0.9751416194601799,0.3333333333333333,0,0.05691636,Low
USR000032,+62821-3079-****,44,M,Jakarta,2025-12-27,3,prepaid,daily_5gb,1.3,5,2.23,44.5,0,49,10,5,0,1,6,17.0,3,Vivo,0.378,1,0.4372549019607843,0.3333333333333333,1,0.6337358,Medium
USR000033,+62851-9519-****,18,F,Bandung,2023-10-16,30,prepaid,weekly_10gb,3.3,10,10.16,101.6,27,13,15,2,0,1,10,25.6,5,Samsung,0.263,1,1.005940594059406,0.5,1,0.66100866,Medium
USR000034,+62813-9705-****,40,F,Bandung,2023-02-09,39,prepaid,unlimited,20.0,100,17.98,18.0,249,65,19,2,0,0,7,38.6,1,Apple,0.323,0,0.17962037962037963,0.6333333333333333,1,0.06570808,Low
USR000035,+62813-9996-****,26,M,Surabaya,2025-09-16,7,prepaid,weekly_10gb,3.3,10,9.12,91.2,249,11,15,10,0,2,2,46.6,1,Apple,0.599,0,0.9029702970297029,0.5,1,0.23640159,Low
USR000036,+62812-3866-****,33,F,Surabaya,2025-04-09,12,postpaid,plus,20.0,50,48.9,97.8,105,3,9,6,0,1,7,36.9,2,Oppo,0.191,0,0.9760479041916167,0.3,0,0.105833255,Low
USR000037,+62812-1060-****,18,M,Jakarta,2023-10-27,30,prepaid,daily_5gb,1.3,5,3.98,79.5,74,21,9,1,0,0,10,50.6,2,Samsung,0.113,0,0.7803921568627451,0.3,1,0.097300425,Low
USR000038,+62812-6913-****,22,M,Jakarta,2019-07-10,82,postpaid,starter,10.0,15,18.0,120.0,125,32,14,0,1,1,5,33.4,4,Xiaomi,0.171,1,1.1920529801324504,0.4666666666666667,0,0.54570484,Medium
USR000039,+62822-6468-****,18,M,Semarang,2026-02-02,2,prepaid,weekly_10gb,3.3,10,5.8,58.0,202,1,11,5,0,0,8,16.4,3,Xiaomi,0.7,0,0.5742574257425742,0.36666666666666664,1,0.15907533,Low
USR000040,+62822-1145-****,42,F,Bandung,2026-03-21,1,postpaid,family,40.0,150,41.79,27.9,207,32,15,3,0,3,7,40.8,1,Oppo,0.18,0,0.27841439040639576,0.5,0,0.101743996,Low
USR000041,+62812-7402-****,31,M,Medan,2020-06-01,71,postpaid,family,40.0,150,106.28,70.9,136,42,19,4,0,1,5,26.7,2,Samsung,0.109,0,0.7080612924716856,0.6333333333333333,0,0.044473104,Low
USR000042,+62822-2218-****,27,F,Palembang,2016-05-22,120,prepaid,daily_5gb,1.3,5,3.04,60.8,263,23,8,1,0,0,5,40.5,0,Apple,0.284,1,0.5960784313725491,0.26666666666666666,1,0.06647762,Low
USR000043,+62851-1362-****,37,F,Jakarta,2026-03-13,1,postpaid,plus,20.0,50,29.99,60.0,153,65,17,11,0,1,5,29.1,2,Samsung,0.595,1,0.5986027944111776,0.5666666666666667,0,0.6866154,Medium
USR000044,+62853-6352-****,42,F,Semarang,2022-02-13,51,postpaid,family,40.0,150,141.35,94.2,120,27,8,8,0,0,5,33.2,3,Xiaomi,0.036,0,0.941705529646902,0.26666666666666666,0,0.10070191,Low
USR000045,+62851-1038-****,44,F,Jakarta,2024-01-21,27,prepaid,mini_1gb,0.7,1,0.29,29.0,235,1,13,4,0,4,4,40.7,2,Infinix,0.49,1,0.2636363636363636,0.43333333333333335,1,0.76257914,High
USR000046,+62821-4633-****,38,M,Jakarta,2024-03-16,25,prepaid,daily_5gb,1.3,5,4.48,89.7,202,10,13,1,1,1,6,12.5,3,Apple,0.417,0,0.8784313725490197,0.43333333333333335,1,0.26040384,Low
USR000047,+62853-7154-****,37,F,Jakarta,2026-03-13,1,prepaid,weekly_10gb,3.3,10,5.86,58.6,35,16,9,5,0,0,8,28.0,1,Xiaomi,0.305,0,0.5801980198019803,0.3,1,0.18753858,Low
USR000048,+62851-7082-****,34,F,Jakarta,2024-08-06,20,postpaid,starter,10.0,15,11.51,76.7,32,8,6,10,0,1,6,31.3,1,Xiaomi,0.101,0,0.7622516556291391,0.2,0,0.22792909,Low
USR000049,+62812-9946-****,32,F,Palembang,2023-03-09,38,prepaid,daily_5gb,1.3,5,2.44,48.8,159,33,11,3,0,0,8,14.7,4,Samsung,0.09,0,0.47843137254901963,0.36666666666666664,1,0.118087016,Low
USR000050,+62813-3958-****,27,M,Makassar,2019-12-27,77,postpaid,plus,20.0,50,14.85,29.7,180,26,15,3,0,0,9,24.2,5,Oppo,0.032,0,0.2964071856287425,0.5,0,0.025330622,Low
USR000051,+62851-8062-****,36,F,Jakarta,2019-04-17,85,postpaid,starter,10.0,15,7.18,47.9,147,5,17,3,0,0,9,21.4,3,Vivo,0.02,0,0.47549668874172185,0.5666666666666667,0,0.025244754,Low
USR000052,+62812-1281-****,36,M,Jakarta,2024-02-06,26,prepaid,mini_1gb,0.7,1,0.58,57.5,325,59,9,2,0,0,4,39.9,4,Samsung,0.527,0,0.5272727272727272,0.3,1,0.41874725,Medium
USR000053,+62853-5612-****,19,M,Jakarta,2024-07-19,21,postpaid,plus,20.0,50,40.37,80.7,111,23,9,2,0,0,2,25.6,1,Vivo,0.419,1,0.8057884231536926,0.3,0,0.57613695,Medium
USR000054,+62851-4828-****,37,F,Denpasar,2024-12-18,16,prepaid,weekly_10gb,3.3,10,4.21,42.1,166,0,18,5,0,1,9,17.3,2,Infinix,0.139,0,0.41683168316831687,0.6,1,0.119371556,Low
USR000055,+62853-8117-****,25,F,Semarang,2025-03-21,13,prepaid,monthly_50gb,13.3,50,28.42,56.8,120,40,11,5,0,1,8,4.8,3,Samsung,0.461,0,0.5672654690618762,0.36666666666666664,1,0.23713224,Low
USR000056,+62821-1140-****,32,F,Denpasar,2021-06-28,58,prepaid,monthly_20gb,6.7,20,21.1,105.5,19,12,11,6,0,0,7,22.3,1,Realme,0.301,0,1.0497512437810945,0.36666666666666664,1,0.08411793,Low
USR000057,+62822-6495-****,27,F,Bandung,2021-02-07,63,prepaid,weekly_10gb,3.3,10,5.43,54.3,83,25,16,0,1,0,7,34.5,2,Samsung,0.083,0,0.5376237623762377,0.5333333333333333,1,0.14958918,Low
USR000058,+62851-9853-****,36,F,Makassar,2025-10-11,6,prepaid,daily_5gb,1.3,5,3.42,68.5,37,36,17,1,1,1,10,18.3,3,Vivo,0.138,0,0.6705882352941177,0.5666666666666667,1,0.22580469,Low
USR000059,+62812-6472-****,21,M,Medan,2024-05-08,23,prepaid,mini_1gb,0.7,1,0.46,46.5,115,18,14,2,0,0,5,35.4,4,Xiaomi,0.181,0,0.41818181818181815,0.4666666666666667,1,0.18491504,Low
USR000060,+62812-1207-****,43,M,Makassar,2026-03-16,1,prepaid,weekly_10gb,3.3,10,2.62,26.2,200,22,9,1,0,0,3,5.5,1,Realme,0.604,0,0.2594059405940594,0.3,1,0.45395356,Medium
USR000061,+62813-3408-****,30,F,Jakarta,2023-02-19,38,prepaid,monthly_50gb,13.3,50,21.2,42.4,107,3,12,3,0,0,4,19.7,3,Oppo,0.358,1,0.4231536926147704,0.4,1,0.7144295,High
USR000062,+62851-8842-****,19,M,Makassar,2020-09-21,68,prepaid,monthly_50gb,13.3,50,23.52,47.0,185,17,13,3,0,0,5,39.8,2,Samsung,0.206,0,0.46946107784431135,0.43333333333333335,1,0.026956333,Low
USR000063,+62813-6179-****,27,F,Bandung,2024-08-10,20,prepaid,weekly_10gb,3.3,10,5.14,51.4,222,2,7,3,0,0,3,20.9,4,Samsung,0.545,1,0.5089108910891089,0.23333333333333334,1,0.5052001,Medium
USR000064,+62851-2549-****,29,M,Denpasar,2023-12-30,28,postpaid,premium,60.0,300,306.8,102.3,104,2,10,5,0,0,6,9.7,3,Apple,0.342,0,1.0223258913695434,0.3333333333333333,0,0.12963031,Low
USR000065,+62822-5719-****,40,M,Surabaya,2026-02-26,1,prepaid,daily_5gb,1.3,5,4.2,84.1,106,15,9,1,3,0,7,5.4,1,Xiaomi,0.885,1,0.823529411764706,0.3,1,0.8961946,High
USR000066,+62822-7230-****,42,F,Palembang,2020-02-21,75,prepaid,mini_1gb,0.7,1,0.78,78.3,173,57,16,1,1,2,5,15.5,2,Apple,0.036,0,0.7090909090909091,0.5333333333333333,1,0.1436976,Low
USR000067,+62821-2827-****,39,F,Jakarta,2024-11-27,17,postpaid,starter,10.0,15,14.35,95.7,168,70,19,2,0,0,6,17.0,3,Infinix,0.156,0,0.9503311258278145,0.6333333333333333,0,0.16840643,Low
USR000068,+62851-6341-****,38,F,Jakarta,2023-02-17,38,prepaid,daily_5gb,1.3,5,4.78,95.6,154,17,14,2,1,0,7,7.6,3,Samsung,0.059,0,0.9372549019607844,0.4666666666666667,1,0.3211987,Medium
USR000069,+62851-2724-****,28,F,Medan,2018-10-03,92,postpaid,plus,20.0,50,39.37,78.7,46,1,10,1,0,1,7,19.0,2,Oppo,0.097,0,0.7858283433133731,0.3333333333333333,0,0.08265805,Low
USR000070,+62822-3979-****,18,F,Medan,2024-04-13,24,prepaid,monthly_20gb,6.7,20,13.39,67.0,138,0,9,24,0,0,4,19.2,3,Oppo,0.825,1,0.6661691542288557,0.3,1,0.7722274,High
USR000071,+62853-6891-****,34,F,Jakarta,2023-06-12,34,prepaid,monthly_20gb,6.7,20,14.18,70.9,200,12,12,2,0,1,7,28.9,0,Samsung,0.151,1,0.7054726368159203,0.4,1,0.35925305,Medium
USR000072,+62813-1830-****,26,F,Jakarta,2024-09-12,19,prepaid,weekly_10gb,3.3,10,12.0,120.0,280,32,12,0,0,1,8,25.9,1,Oppo,0.422,0,1.188118811881188,0.4,1,0.22239195,Low
USR000073,+62851-8999-****,39,M,Jakarta,2024-12-26,16,prepaid,daily_5gb,1.3,5,4.35,87.1,218,60,9,19,0,1,8,41.8,2,Apple,0.608,1,0.8529411764705882,0.3,1,0.6339203,Medium
USR000074,+62812-6347-****,18,F,Semarang,2026-03-02,1,prepaid,monthly_50gb,13.3,50,22.51,45.0,157,0,5,0,0,1,7,15.5,3,Apple,0.202,0,0.4493013972055888,0.16666666666666666,1,0.2653639,Low
USR000075,+62851-9616-****,33,F,Jakarta,2023-06-09,35,prepaid,mini_1gb,0.7,1,0.53,52.8,212,15,11,7,0,0,5,16.6,1,Realme,0.303,0,0.4818181818181818,0.36666666666666664,1,0.15635449,Low
USR000076,+62853-5666-****,27,M,Palembang,2024-11-21,17,prepaid,mini_1gb,0.7,1,0.51,51.5,184,1,14,0,0,0,8,29.4,2,Xiaomi,0.341,1,0.4636363636363636,0.4666666666666667,1,0.31558803,Medium
USR000077,+62821-7852-****,18,F,Bandung,2023-07-21,33,prepaid,mini_1gb,0.7,1,0.64,64.1,178,3,13,4,0,0,5,12.2,2,Oppo,0.148,0,0.5818181818181818,0.43333333333333335,1,0.16253357,Low
USR000078,+62821-9804-****,26,M,Surabaya,2025-09-23,7,prepaid,daily_5gb,1.3,5,2.61,52.2,58,45,12,4,0,1,8,50.4,0,Oppo,0.252,0,0.5117647058823529,0.4,1,0.33618894,Medium
USR000079,+62813-3990-****,23,F,Surabaya,2023-10-26,30,postpaid,starter,10.0,15,14.03,93.6,81,23,6,8,0,0,7,29.8,0,Vivo,0.149,0,0.929139072847682,0.2,0,0.15734544,Low
USR000080,+62822-2958-****,18,M,Makassar,2025-12-20,4,prepaid,monthly_20gb,6.7,20,9.96,49.8,104,8,11,5,0,0,6,24.0,2,Xiaomi,0.484,1,0.4955223880597015,0.36666666666666664,1,0.251123,Low
USR000081,+62822-5596-****,27,F,Jakarta,2023-12-29,28,prepaid,weekly_10gb,3.3,10,7.81,78.1,69,0,10,13,1,1,5,29.1,2,Oppo,0.464,1,0.7732673267326733,0.3333333333333333,1,0.6308889,Medium
USR000082,+62812-2762-****,29,F,Surabaya,2025-03-22,13,postpaid,starter,10.0,15,5.95,39.7,193,36,13,3,0,0,8,21.2,0,Samsung,0.146,1,0.39403973509933776,0.43333333333333335,0,0.4210685,Medium
USR000083,+62812-7748-****,42,M,Palembang,2024-02-13,26,prepaid,weekly_10gb,3.3,10,4.34,43.4,141,31,12,8,0,0,6,34.8,3,Oppo,0.289,0,0.4297029702970297,0.4,1,0.37981287,Medium
USR000084,+62812-3800-****,48,F,Semarang,2024-11-28,17,postpaid,starter,10.0,15,14.68,97.9,129,21,20,6,0,1,2,17.6,1,Samsung,0.233,0,0.9721854304635762,0.6666666666666666,0,0.17159043,Low
USR000085,+62851-4629-****,36,M,Jakarta,2026-03-13,1,prepaid,mini_1gb,0.7,1,0.34,34.0,125,32,13,1,1,0,5,16.1,3,Vivo,0.346,0,0.3090909090909091,0.43333333333333335,1,0.2044285,Low
USR000086,+62813-6054-****,18,M,Palembang,2024-06-05,22,prepaid,daily_5gb,1.3,5,0.93,18.6,111,5,14,2,0,0,7,22.9,1,Samsung,0.27,0,0.1823529411764706,0.4666666666666667,1,0.307042,Medium
USR000087,+62812-8446-****,21,F,Jakarta,2021-06-26,58,prepaid,weekly_10gb,3.3,10,10.03,100.3,180,2,17,3,0,0,8,8.0,2,Samsung,0.121,0,0.9930693069306931,0.5666666666666667,1,0.29888803,Low
USR000088,+62812-3606-****,41,F,Surabaya,2025-09-07,7,prepaid,daily_5gb,1.3,5,3.78,75.7,128,32,18,1,0,0,9,40.9,2,Oppo,0.178,1,0.7411764705882353,0.6,1,0.37462562,Medium
USR000089,+62813-3172-****,34,M,Jakarta,2023-04-06,37,prepaid,weekly_10gb,3.3,10,1.21,12.1,247,17,13,0,1,1,7,7.3,1,Xiaomi,0.158,1,0.1198019801980198,0.43333333333333335,1,0.9018152,High
USR000090,+62812-1340-****,31,F,Bandung,2018-02-22,99,prepaid,daily_5gb,1.3,5,3.54,70.7,141,9,10,0,0,0,7,31.4,1,Samsung,0.155,0,0.6941176470588236,0.3333333333333333,1,0.069222346,Low
USR000091,+62853-2708-****,20,F,Bandung,2024-08-18,20,postpaid,premium,60.0,300,250.97,83.7,175,4,15,1,0,1,6,18.1,3,Xiaomi,0.21,0,0.8362879040319893,0.5,0,0.14025213,Low
USR000092,+62821-6806-****,28,F,Jakarta,2020-08-09,69,prepaid,mini_1gb,0.7,1,0.72,72.0,180,13,16,2,0,0,6,19.0,3,Infinix,0.236,0,0.6545454545454544,0.5333333333333333,1,0.12740462,Low
USR000093,+62821-8537-****,37,M,Jakarta,2025-03-23,13,prepaid,monthly_20gb,6.7,20,13.45,67.2,139,14,14,5,0,0,9,36.5,1,Realme,0.09,1,0.6691542288557213,0.4666666666666667,1,0.18736105,Low
USR000094,+62813-6776-****,44,M,Jakarta,2022-11-19,41,prepaid,monthly_20gb,6.7,20,5.8,29.0,177,2,11,1,0,0,8,29.7,3,Samsung,0.043,0,0.2885572139303482,0.36666666666666664,1,0.08001595,Low
USR000095,+62822-6575-****,27,M,Jakarta,2024-02-13,26,prepaid,daily_5gb,1.3,5,4.04,80.7,127,6,8,0,0,1,9,20.9,2,Apple,0.056,0,0.7921568627450981,0.26666666666666666,1,0.14751135,Low
USR000096,+62853-7352-****,34,M,Semarang,2023-01-18,39,prepaid,weekly_10gb,3.3,10,5.27,52.7,57,29,9,1,0,1,7,16.8,0,Xiaomi,0.21,1,0.5217821782178218,0.3,1,0.30053294,Medium
USR000097,+62851-4607-****,22,M,Denpasar,2021-01-09,64,postpaid,family,40.0,150,180.0,120.0,164,40,19,2,1,0,4,25.8,3,Samsung,0.178,0,1.1992005329780147,0.6333333333333333,0,0.10279642,Low
USR000098,+62853-3016-****,35,F,Jakarta,2024-05-01,24,prepaid,unlimited,20.0,100,44.9,44.9,149,9,16,0,0,1,5,22.1,3,Apple,0.268,0,0.4485514485514486,0.5333333333333333,1,0.2717914,Low
USR000099,+62853-9016-****,41,M,Jakarta,2023-09-04,32,prepaid,daily_5gb,1.3,5,5.25,105.1,54,24,10,0,0,0,10,32.4,0,Oppo,0.09,0,1.0294117647058825,0.3333333333333333,1,0.13512005,Low
USR000100,+62813-3566-****,23,F,Jakarta,2022-02-25,50,prepaid,mini_1gb,0.7,1,0.95,94.9,262,12,9,0,1,0,5,9.8,1,Oppo,0.082,0,0.8636363636363635,0.3,1,0.088714994,Low
USR000101,+62821-7683-****,41,F,Medan,2022-02-23,50,prepaid,monthly_20gb,6.7,20,22.6,113.0,250,18,10,0,1,1,7,17.9,3,Xiaomi,0.117,0,1.1243781094527363,0.3333333333333333,1,0.08567453,Low
USR000102,+62822-3295-****,19,M,Jakarta,2023-04-19,36,prepaid,weekly_10gb,3.3,10,4.96,49.6,176,20,11,1,0,1,6,34.9,1,Samsung,0.223,1,0.4910891089108911,0.36666666666666664,1,0.28245088,Low
USR000103,+62821-8160-****,18,F,Surabaya,2019-11-16,78,prepaid,weekly_10gb,3.3,10,4.7,47.0,45,12,12,5,0,1,7,41.2,0,Xiaomi,0.065,0,0.46534653465346537,0.4,1,0.058510255,Low
USR000104,+62822-5009-****,27,F,Jakarta,2018-06-25,95,prepaid,daily_5gb,1.3,5,1.23,24.6,184,28,8,6,0,1,7,27.3,2,Samsung,0.062,0,0.2411764705882353,0.26666666666666666,1,0.14039634,Low
USR000105,+62813-4699-****,32,F,Jakarta,2025-04-07,12,postpaid,family,40.0,150,47.88,31.9,149,14,12,0,0,0,8,8.0,4,Apple,0.189,0,0.31898734177215193,0.4,0,0.11865247,Low
USR000106,+62821-1614-****,18,M,Jakarta,2022-05-02,48,prepaid,daily_5gb,1.3,5,3.29,65.8,158,11,13,7,0,0,8,23.1,3,Xiaomi,0.19,1,0.6450980392156863,0.43333333333333335,1,0.18150969,Low
USR000107,+62853-4156-****,18,F,Makassar,2023-12-08,28,prepaid,monthly_20gb,6.7,20,13.99,70.0,73,41,12,2,0,0,7,31.9,0,Infinix,0.061,0,0.6960199004975124,0.4,1,0.24033035,Low
USR000108,+62813-4273-****,41,M,Jakarta,2023-09-11,31,postpaid,plus,20.0,50,30.47,60.9,268,18,9,0,0,1,6,32.1,1,Oppo,0.114,0,0.6081836327345309,0.3,0,0.16186489,Low
USR000109,+62813-1680-****,33,M,Medan,2025-05-31,10,prepaid,monthly_50gb,13.3,50,10.63,21.3,76,16,15,0,1,0,7,22.3,0,Apple,0.256,0,0.2121756487025948,0.5,1,0.12438125,Low
USR000110,+62853-8032-****,28,F,Jakarta,2023-07-09,34,postpaid,plus,20.0,50,26.75,53.5,280,7,12,2,1,1,2,29.9,1,Xiaomi,0.586,1,0.5339321357285429,0.4,0,0.6150041,Medium
USR000111,+62812-9708-****,50,F,Jakarta,2024-09-07,19,prepaid,daily_5gb,1.3,5,3.3,66.0,111,6,15,4,0,2,5,21.3,2,Oppo,0.247,0,0.6470588235294118,0.5,1,0.19866543,Low
USR000112,+62812-2988-****,34,M,Surabaya,2025-07-11,9,postpaid,plus,20.0,50,44.35,88.7,163,30,15,7,1,1,6,24.7,1,Xiaomi,0.147,0,0.8852295409181636,0.5,0,0.21869421,Low
USR000113,+62813-8519-****,25,M,Surabaya,2025-11-10,5,prepaid,weekly_10gb,3.3,10,10.75,107.5,76,21,6,15,0,0,4,41.7,2,Realme,0.917,1,1.0643564356435644,0.2,1,0.9356823,High
USR000114,+62853-5937-****,39,M,Jakarta,2026-02-06,2,postpaid,plus,20.0,50,60.0,120.0,46,55,13,0,0,0,8,25.7,3,Vivo,0.317,1,1.1976047904191616,0.43333333333333335,0,0.40885603,Medium
USR000115,+62812-7136-****,23,F,Jakarta,2022-06-01,47,prepaid,monthly_20gb,6.7,20,18.86,94.3,0,111,9,5,0,0,8,35.6,0,Apple,0.215,1,0.9383084577114427,0.3,1,0.65479505,Medium
USR000116,+62853-5744-****,22,M,Surabaya,2024-06-16,22,prepaid,monthly_20gb,6.7,20,8.84,44.2,182,34,18,1,0,1,7,17.4,3,Samsung,0.236,0,0.4398009950248756,0.6,1,0.27748623,Low
USR000117,+62813-9312-****,29,F,Jakarta,2025-03-30,13,prepaid,weekly_10gb,3.3,10,10.13,101.3,193,1,16,2,0,0,7,18.1,2,Vivo,0.232,0,1.002970297029703,0.5333333333333333,1,0.2792021,Low
